
[00:00:00.000 --> 00:00:02.640]  哈喽哈喽
[00:00:02.640 --> 00:00:05.060]  直播间的小伙伴们能听到我的声音吗
[00:00:05.060 --> 00:00:09.080]  那我们今天又是周四了
[00:00:09.080 --> 00:00:10.200]  疯狂星期四
[00:00:10.200 --> 00:00:11.820]  那我们也是学习的周四
[00:00:11.820 --> 00:00:16.440]  欢迎大家来到我们码力全开特辑的直播间
[00:00:16.440 --> 00:00:18.440]  那直播开始之前呢
[00:00:18.440 --> 00:00:21.100]  熊仔还是和大家就是说一下我们
[00:00:21.100 --> 00:00:24.180]  就是CANN讯影直播间的互动规则
[00:00:24.180 --> 00:00:25.320]  那首先的话呢
[00:00:25.320 --> 00:00:26.560]  大家一定要听好了
[00:00:26.560 --> 00:00:28.900]  我们是在哪一个渠道进行互动
[00:00:28.900 --> 00:00:30.660]  那我们今天的话呢
[00:00:30.660 --> 00:00:36.720]  是在深藤社区和深藤CANN视频号里面进行答题互动
[00:00:36.720 --> 00:00:39.720]  那我们在直播开始之前呢
[00:00:39.720 --> 00:00:43.680]  会在我们的深藤CANNB站号
[00:00:43.680 --> 00:00:46.660]  进行一个就是口令的互动环节
[00:00:46.660 --> 00:00:51.620]  那我们先为了大家能够热场一波
[00:00:51.620 --> 00:00:55.260]  那我们先就是在我们的深藤CANN的B站号上面
[00:00:55.260 --> 00:00:57.720]  先来一个小小的互动
[00:00:57.720 --> 00:00:59.300]  那我们说开始了
[00:00:59.300 --> 00:01:04.860]  就是大家先注意一下我们的渠道是在深藤CANN的B站号上面
[00:01:04.860 --> 00:01:11.260]  那以参与我们CANN讯影影笔记分享的这个开发者
[00:01:11.480 --> 00:01:12.700]  发布口令
[00:01:12.700 --> 00:01:15.340]  参与社区任务营三折叠
[00:01:15.340 --> 00:01:21.020]  第一个就是我们发布口令的这个开发者可以领取我们的精美定制礼品
[00:01:21.020 --> 00:01:22.160]  那开始
[00:01:22.160 --> 00:01:28.160]  我来CANN一下我们弹幕里面就是有哪些开发者已经发了啊
[00:01:28.160 --> 00:01:34.000]  大家一定要注意一下是在我们深藤CANN的那个B站号
[00:01:34.000 --> 00:01:40.580]  大家不能光抠一啊
[00:01:40.580 --> 00:01:42.540]  一定要说一下我们的口号
[00:01:42.540 --> 00:01:46.560]  口号是参与社区任务营三折叠
[00:01:46.560 --> 00:01:48.660]  我们我再说一下
[00:01:51.020 --> 00:02:00.120]  而且是要参与我们CANN讯影影笔记分享的这个开发者哦
[00:02:00.120 --> 00:02:06.260]  当然也可以先发口号后后就是再分享一下笔记也是可以的
[00:02:06.260 --> 00:02:09.220]  哦CANN到了CANN到了
[00:02:09.220 --> 00:02:17.900]  嗯我们的获奖开发者已经就是出来了
[00:02:17.900 --> 00:02:22.720]  呃ID号是金与七月这个很文艺啊这个名字
[00:02:22.720 --> 00:02:29.140]  那可以扫描右侧小助手二维码然后添加升等小助手领取我们的精美礼品
[00:02:29.140 --> 00:02:37.560]  那呃我们的小小互动先到这里了再说一下我们的CANN讯影影的这个活动给大家介绍一下
[00:02:37.560 --> 00:02:43.160]  那我们讯影影影呢大家可以就是在我们可以CANN到我们右侧二维码也是有报名
[00:02:43.160 --> 00:02:46.520]  报名的二维码的那大家可以扫码报名
[00:02:46.520 --> 00:02:52.920]  然后可以进行我们的这个比如说笔记啊笔记分享呀写些笔记分享
