
[00:00:00.000 --> 00:00:07.280]  大家好,我是昇腾CANN生态的郭宜鹏
[00:00:07.280 --> 00:00:10.760]  然后今天还是我给大家来讲一下
[00:00:10.760 --> 00:00:12.800]  就是我们面向昇腾的Trader算子
[00:00:12.800 --> 00:00:14.860]  然后是怎么继续做这个调试
[00:00:14.860 --> 00:00:16.260]  还有性能优化
[00:00:16.260 --> 00:00:22.480]  首先呢也欢迎各位开发者来到CANN训练营直播间
[00:00:22.480 --> 00:00:26.640]  新一季的CANN训练营围绕学练赛聘
[00:00:26.640 --> 00:00:30.020]  打造适合各阶段开发者学习实践的平台
[00:00:30.020 --> 00:00:33.200]  大家可以观看直播学习课程
[00:00:33.200 --> 00:00:36.020]  然后通过算子中级认证考核
[00:00:36.020 --> 00:00:37.420]  并参与学习笔记分享
[00:00:37.420 --> 00:00:38.600]  步道师分享
[00:00:38.600 --> 00:00:40.700]  社区任务等挑战
[00:00:40.700 --> 00:00:43.360]  首发30家社区任务已经开启
[00:00:43.360 --> 00:00:45.200]  欢迎各位开发者们
[00:00:45.200 --> 00:00:47.820]  扫描屏幕右侧报名二维码
[00:00:47.820 --> 00:00:49.800]  参与直播学习完成社区任务
[00:00:49.800 --> 00:00:52.640]  有机会赢取华为三车级手机
[00:00:52.640 --> 00:00:54.320]  笔记本电脑等超级大奖
[00:00:56.640 --> 00:01:03.020]  这里二位骂我稍微停一会儿
[00:01:03.020 --> 00:01:09.140]  好啊
[00:01:09.140 --> 00:01:10.260]  今天呢
[00:01:10.260 --> 00:01:12.420]  首先是我们先回顾一下
[00:01:12.420 --> 00:01:14.120]  然后上周给大家讲过的
[00:01:14.120 --> 00:01:15.620]  这个Triton的算子开发
[00:01:15.620 --> 00:01:18.680]  因为我们可能今天有的开发者
[00:01:18.680 --> 00:01:20.220]  还没有CANN过上一期课程
[00:01:20.220 --> 00:01:23.460]  所以再给大家做一个快速的介绍
[00:01:23.460 --> 00:01:25.680]  首先Triton呢
[00:01:25.680 --> 00:01:28.460]  它的是一个让用户者
[00:01:28.460 --> 00:01:32.440]  控制一些并行的和数据切分的方式
