
[00:00:00.000 --> 00:00:08.680]  今天呢我主要是给大家介绍一下这个Triton这个语言是怎么在升能上开发的
[00:00:08.680 --> 00:00:13.000]  还有说它的一个背景大概是什么样的
[00:00:13.000 --> 00:00:19.320]  首先说为什么我们需要这个这个Triton的这种算子开发的一个编程方式
[00:00:19.320 --> 00:00:25.420]  一个就是其实主要就是我们其实在用户的开发的场景里
[00:00:25.420 --> 00:00:30.720]  有很多场景是需要这个高效开发的这么一个场景需求
[00:00:30.720 --> 00:00:36.580]  因为虽然说像比如说Kuda或者CNC这种变成模式呢
[00:00:36.580 --> 00:00:41.880]  他们其实有点就是说他们对硬件有比较强的控制能力
[00:00:41.880 --> 00:00:46.420]  然后最后我们要想调的话可以调到一个极致性能
[00:00:46.420 --> 00:00:50.860]  然后但是呢也不全都是优点
[00:00:50.860 --> 00:00:55.600]  就是他本身呢在开发难度上就比较高
[00:00:55.600 --> 00:01:00.080]  而且需要这个开发者这个环境就是了解的比较深入
[00:01:00.080 --> 00:01:02.200]  才能写出这个性能很好的算子
[00:01:02.200 --> 00:01:05.140]  但其实在很多场景下呢
[00:01:05.140 --> 00:01:08.480]  用户是不需要把这个算子推到一个极致性能的
[00:01:08.480 --> 00:01:11.480]  然后反而是需要一种就是开发效率很高
[00:01:11.480 --> 00:01:15.700]  然后又能保证性能在一个较高程度的这么一种编程方式
[00:01:15.700 --> 00:01:20.260]  然后比如说试用一个高效开发这个方式的话
[00:01:20.260 --> 00:01:22.480]  有那种算法研究
[00:01:22.480 --> 00:01:25.160]  就比如说是搞那个新算法
[00:01:25.160 --> 00:01:27.120]  做这个快速开发验证
[00:01:27.120 --> 00:01:30.740]  或者说响应这个新出现的这个新模型结构
[00:01:30.740 --> 00:01:32.540]  然后去定制一些模型算子
[00:01:32.540 --> 00:01:37.880]  或者说写一些就是相对来说保写的一些这个融合算子
[00:01:37.880 --> 00:01:42.400]  那这种情况下呢会需要这个开发者能用最高的效率
[00:01:42.400 --> 00:01:43.540]  把这个原型打通
[00:01:43.540 --> 00:01:48.020]  然后另一种呢就是需要做这种
[00:01:48.020 --> 00:01:51.640]  这个跨硬件平台部署模型的这个场景
[00:01:51.640 --> 00:01:56.320]  因为就是从这个本身这个编程上来说哈
[00:01:56.320 --> 00:01:58.780]  如果说我这个编程框架
[00:01:58.780 --> 00:02:02.500]  用户对于这个硬件的控制力
[00:02:02.500 --> 00:02:03.660]  就不是控制力吧
[00:02:03.660 --> 00:02:06.400]  就控制的需要越低
[00:02:06.400 --> 00:02:09.400]  也就是说这个编程框架呢
[00:02:09.400 --> 00:02:12.620]  它跟这个某个硬件这个绑定程度越低
[00:02:12.620 --> 00:02:15.960]  所以这种高效开发的这个算子呢
[00:02:15.960 --> 00:02:19.540]  因为它就不需要控制那么多的硬件的细节
[00:02:19.540 --> 00:02:24.980]  所以说它其实是可以做到这个相同模型部署在多个平台
[00:02:24.980 --> 00:02:28.660]  然后尽可能去避免我同一个算子
[00:02:28.660 --> 00:02:30.960]  面向多个硬件后端要同步开发
[00:02:30.960 --> 00:02:33.480]  来做到这个硬件生态捷偶
[00:02:33.480 --> 00:02:36.900]  然后比如说现在有些算子库
[00:02:36.900 --> 00:02:40.420]  它的后端就是我同一套代码就可以跑在
[00:02:40.420 --> 00:02:43.300]  不管是GPU还是我们这个升能上
[00:02:43.300 --> 00:02:44.440]  然后可以不修改
[00:02:44.440 --> 00:02:48.940]  然后还有呢就是那种非性能平台的算子
[00:02:49.180 --> 00:02:50.900]  比如这些算子在模型里呢
[00:02:50.900 --> 00:02:52.520]  它这个时间占比比较小
